Date,Open,High,Low,Close,Adj Close,Volume
2020-08-03,76.480003,76.599998,75.440002,75.500000,69.920380,7138300
2020-08-04,75.370003,75.489998,74.760002,75.129997,69.577728,12792400
2020-08-05,75.349998,75.989998,75.330002,75.779999,70.179688,7780800
2020-08-06,75.199997,75.919998,74.940002,75.660004,70.449738,6764800
2020-08-07,75.480003,75.930000,75.209999,75.790001,70.570770,6569300
2020-08-10,75.820000,77.669998,75.809998,77.470001,72.135071,6604300
2020-08-11,78.269997,79.980003,78.000000,78.870003,73.438667,10238500
2020-08-12,79.589996,79.690002,78.669998,79.290001,73.829750,5378000
2020-08-13,78.919998,79.639999,78.839996,79.019997,73.578316,4383400
2020-08-14,78.540001,78.930000,78.019997,78.370003,72.973099,3771300
2020-08-17,78.599998,78.959999,78.120003,78.949997,73.513145,5360400
2020-08-18,79.150002,79.360001,78.349998,78.989998,73.550407,5272700
2020-08-19,79.180000,79.389999,77.430000,77.629997,72.284050,6840600
2020-08-20,77.029999,77.650002,76.459999,77.220001,71.902275,5099500
2020-08-21,76.940002,77.269997,76.690002,77.070000,71.762619,5594100
2020-08-24,77.709999,79.139999,77.250000,78.680000,73.261749,5867400
2020-08-25,80.059998,83.070000,79.790001,82.720001,77.023544,17659500
2020-08-26,82.419998,82.750000,81.879997,82.410004,76.734894,7934300
2020-08-27,82.750000,83.639999,82.500000,83.410004,77.666023,9099200
2020-08-28,83.790001,85.290001,83.430000,85.000000,79.146538,9303900
2020-08-31,84.629997,85.360001,84.029999,84.470001,78.653015,6401600
2020-09-01,84.699997,86.089996,84.230003,86.050003,80.124237,8166100
2020-09-02,86.510002,88.750000,86.290001,88.349998,82.265823,11378900
2020-09-03,88.599998,88.980003,85.690002,86.480003,80.524605,11036600
2020-09-04,87.089996,87.779999,85.309998,86.269997,80.329071,10349400
2020-09-08,85.269997,87.580002,84.769997,85.410004,79.528290,11083100
2020-09-09,85.930000,86.830002,84.459999,85.860001,79.947304,6928700
2020-09-10,85.800003,87.070000,84.529999,84.879997,79.034790,7552000
2020-09-11,84.949997,85.849998,84.150002,85.269997,79.397934,7103300
2020-09-14,85.750000,87.059998,85.639999,86.629997,80.664276,5535800
2020-09-15,87.180000,88.250000,87.169998,87.709999,81.669899,8361900
2020-09-16,88.000000,89.430000,87.750000,88.379997,82.293762,7146400
2020-09-17,87.050003,87.320000,85.360001,86.750000,80.776016,7386600
2020-09-18,86.809998,87.239998,84.599998,84.949997,79.099960,10113400
2020-09-21,82.860001,83.949997,81.750000,83.889999,78.112953,7188800
2020-09-22,84.050003,84.389999,83.180000,83.949997,78.168839,4465000
2020-09-23,84.379997,84.900002,82.820000,82.989998,77.274940,6414700
2020-09-24,82.629997,84.139999,81.919998,83.040001,77.321495,4881500
2020-09-25,82.529999,84.690002,82.220001,84.300003,78.494736,5981500
2020-09-28,85.519997,86.239998,84.989998,86.070000,80.142838,5976200
2020-09-29,86.250000,86.250000,84.629997,84.800003,78.960297,4064000
2020-09-30,86.629997,87.160004,85.470001,85.919998,80.003174,10134400
2020-10-01,87.040001,87.449997,86.199997,86.739998,80.766693,7241200
2020-10-02,85.150002,87.129997,85.089996,86.570000,80.608414,5602300
2020-10-05,87.269997,88.680000,87.199997,88.470001,82.377571,7004800
2020-10-06,88.650002,89.279999,86.800003,87.010002,81.018105,7951100
2020-10-07,87.820000,88.980003,87.440002,88.449997,82.358932,5179300
2020-10-08,88.459999,89.610001,88.410004,89.529999,83.364571,4958800
2020-10-09,89.800003,90.330002,89.580002,90.010002,83.811531,6197700
2020-10-12,90.459999,91.099998,89.930000,90.779999,84.528481,5909100
2020-10-13,90.580002,90.849998,89.769997,90.160004,83.951195,5732000
2020-10-14,90.169998,90.599998,88.559998,89.309998,83.159714,4760700
2020-10-15,88.160004,88.870003,87.669998,88.830002,82.712776,5002200
2020-10-16,89.389999,89.629997,88.440002,88.519997,82.424118,4721300
2020-10-19,88.699997,89.570000,87.360001,87.599998,81.567467,5426600
2020-10-20,88.680000,89.720001,88.040001,88.510002,82.414810,4939700
2020-10-21,88.379997,89.160004,88.190002,88.269997,82.191338,4119200
2020-10-22,88.019997,89.379997,87.699997,89.360001,83.206284,4257800
2020-10-23,89.800003,90.959999,89.440002,90.800003,84.547127,7811500
2020-10-26,90.029999,91.129997,88.650002,89.660004,83.485619,7756400
2020-10-27,89.480003,90.349998,89.169998,90.050003,83.848785,8027500
2020-10-28,88.650002,88.949997,86.610001,87.169998,81.167084,12738800
2020-10-29,87.169998,89.110001,86.610001,88.300003,82.219276,8440000
2020-10-30,87.750000,88.389999,85.629997,86.959999,80.971558,11400700
2020-11-02,87.540001,87.769997,85.449997,85.970001,80.049721,8904900
2020-11-03,86.779999,89.059998,86.180000,88.389999,82.303070,6910400
2020-11-04,88.900002,91.290001,88.739998,89.790001,83.606659,10509400
2020-11-05,90.690002,91.160004,89.900002,90.620003,84.379517,6169700
2020-11-06,90.150002,91.199997,89.779999,90.650002,84.407448,6626100
2020-11-09,97.320000,97.650002,95.639999,95.879997,89.277298,16225800
2020-11-10,93.739998,95.269997,93.139999,93.919998,87.864639,10474700
2020-11-11,94.110001,95.830002,94.019997,95.040001,88.912422,8296500
2020-11-12,94.660004,94.760002,92.660004,93.529999,87.499771,7058400
2020-11-13,94.379997,95.589996,93.699997,95.559998,89.398911,5516100
2020-11-16,96.790001,97.809998,96.019997,97.779999,91.475777,9371300
2020-11-17,97.209999,98.779999,96.809998,98.599998,92.242889,8722300
2020-11-18,98.629997,99.330002,97.910004,97.910004,91.597389,6039500
2020-11-19,97.239998,97.919998,96.860001,97.760002,91.457062,4252300
2020-11-20,97.419998,97.540001,96.949997,97.010002,90.755417,4609700
2020-11-23,97.620003,97.860001,96.419998,96.879997,90.633781,4803200
2020-11-24,97.510002,98.720001,97.400002,98.300003,91.962242,6319900
2020-11-25,98.500000,98.540001,97.940002,98.199997,91.868683,4027100
2020-11-27,98.480003,98.980003,98.279999,98.660004,92.299034,2169700
2020-11-30,98.199997,98.290001,96.959999,98.019997,91.700279,5197300
2020-12-01,99.000000,99.260002,98.250000,98.820000,92.448715,4970000
2020-12-02,98.510002,99.040001,98.209999,98.910004,92.532913,3377900
2020-12-03,99.019997,101.000000,98.970001,100.110001,93.655563,6264100
2020-12-04,101.349998,102.940002,101.070000,102.279999,95.685646,6952700
2020-12-07,102.010002,102.220001,100.690002,101.410004,94.871742,4514800
2020-12-08,100.370003,101.570000,100.010002,101.209999,94.684631,3911300
2020-12-09,101.940002,102.209999,100.099998,100.400002,93.926849,6629900
2020-12-10,103.510002,106.089996,102.750000,105.389999,98.595139,12939200
2020-12-11,104.410004,104.779999,102.330002,103.000000,96.359207,6262600
2020-12-14,103.830002,104.709999,103.250000,103.320000,96.658600,5156200
2020-12-15,104.239998,104.860001,103.779999,104.180000,97.463142,5195200
2020-12-16,104.099998,104.800003,102.720001,103.269997,96.611809,6409300
2020-12-17,103.550003,104.040001,102.610001,103.209999,96.555695,4535700
2020-12-18,103.330002,104.110001,102.949997,103.279999,96.621155,10215000
2020-12-21,101.220001,103.150002,100.019997,102.940002,96.303078,7175900
2020-12-22,102.120003,103.169998,101.889999,102.410004,95.807266,4302700
2020-12-23,102.290001,102.690002,101.970001,102.059998,95.479813,3817300
2020-12-24,102.300003,102.360001,101.680000,102.010002,95.433067,1949200
2020-12-28,102.919998,104.379997,102.309998,104.339996,97.612816,5055200
2020-12-29,104.889999,105.779999,104.470001,105.629997,98.819641,4780900
2020-12-30,105.989998,106.620003,105.779999,105.970001,99.137726,3654100
2020-12-31,106.000000,107.139999,105.620003,106.980003,100.082611,3566300
2021-01-04,107.660004,107.750000,102.139999,103.099998,96.452759,8041500
2021-01-05,102.919998,104.260002,102.800003,103.440002,96.770851,5721900
2021-01-06,102.989998,105.209999,102.910004,104.190002,97.472496,5017200
2021-01-07,104.489998,104.639999,102.949997,103.349998,96.686661,5057000
2021-01-08,103.860001,105.760002,103.419998,105.669998,98.857071,5869700
2021-01-11,105.099998,105.639999,104.269997,104.599998,97.856056,4257400
2021-01-12,104.010002,104.320000,102.309998,102.820000,96.190826,4332600
2021-01-13,102.320000,103.379997,101.489998,102.889999,96.256325,4804500
2021-01-14,103.800003,104.190002,101.709999,101.820000,95.255302,4528300
2021-01-15,101.379997,102.690002,101.209999,102.330002,95.732414,5522900
2021-01-19,102.800003,103.599998,101.339996,102.540001,95.928879,6519600
2021-01-20,102.410004,105.849998,102.199997,105.459999,98.660614,5844300
2021-01-21,105.459999,105.489998,104.449997,104.580002,97.837334,5731500
2021-01-22,104.160004,104.470001,103.059998,103.910004,97.210548,5231600
2021-01-25,103.750000,103.949997,102.169998,103.449997,96.780190,5009000
2021-01-26,103.400002,105.209999,103.239998,104.690002,97.940262,7195300
2021-01-27,101.480003,101.779999,96.730003,97.870003,91.559967,18139500
2021-01-28,98.940002,100.529999,98.099998,98.150002,91.821899,8868200
2021-01-29,97.389999,97.790001,95.919998,96.809998,90.568306,8203000
2021-02-01,96.989998,99.620003,96.919998,98.580002,92.224197,7206300
2021-02-02,99.050003,102.480003,98.779999,101.650002,95.096252,6917700
2021-02-03,101.250000,102.650002,100.809998,101.019997,94.506874,3934800
2021-02-04,101.360001,104.239998,101.110001,103.639999,96.957954,6926800
2021-02-05,105.089996,107.540001,104.779999,106.480003,99.614845,8072100
2021-02-08,106.419998,106.529999,105.339996,106.260002,99.409035,4836600
2021-02-09,106.000000,106.830002,105.220001,106.220001,99.371613,4095200
